Создано программой GetData Graph Digitizer 2.26.0.20, дата создания April 14 2019, 13:28,
на основе файла 'D:\BandGap\img\grad.jpg'

Линия #1
-2.56576567112655e-003	-4.09589501681656e-002
3.41946588533775e-001	2.04639249891063e-002
5.62806315273683e+000	1.39180261193218e-001
9.58296200282459e+000	2.23669110565668e-001
1.37297317470393e+001	3.53650626686105e-001
2.00434936156493e+001	5.15661882881522e-001
2.64722829923773e+001	7.02694969682498e-001
3.31290367614612e+001	8.89748789943443e-001
3.98248299078778e+001	1.10181752965662e+000
4.65588071764034e+001	1.31843726383293e+000
5.47771187609131e+001	1.59658354046636e+000
7.43712405485659e+001	2.24866122321194e+000
9.97890975174101e+001	3.15592978682893e+000
1.24714267004806e+002	4.09271243071137e+000
1.45035787679694e+002	4.87673439712109e+000
1.69088138975000e+002	5.83844902661589e+000
1.88689672974592e+002	6.66788072593372e+000
2.03609669463726e+002	7.29906944776084e+000
2.26716920542125e+002	8.37438616000080e+000
2.39623136537091e+002	9.00311796682163e+000
2.50363690804676e+002	9.63165280577275e+000
