x1	y1
6.46424941317630e-001	1.00390032502709e+000
6.50452133517186e-001	1.36663055254605e+000
6.66813362115114e-001	1.68255687973998e+000
6.83586134910439e-001	1.97508125677140e+000
7.09539655118897e-001	2.25590465872156e+000
7.50329140177910e-001	2.54842903575298e+000
7.73994728042417e-001	2.92286023835320e+000
7.88550871639717e-001	3.11007583965330e+000
7.98406735070173e-001	3.25048754062839e+000
7.98406735070173e-001	3.80043336944745e+000
8.03380765572451e-001	4.06955579631636e+000
8.18489558130455e-001	4.18656554712893e+000
8.39077536977073e-001	4.25677139761647e+000
9.04001079335577e-001	4.36208017334778e+000
1.02993767296312e+000	4.53759479956663e+000
1.19136870311255e+000	4.73521126760563e+000
1.36202991906648e+000	4.92372697724810e+000
1.44032927644965e+000	5.02903575297942e+000
1.62072491190567e+000	5.21625135427952e+000
1.88123485324735e+000	5.49707475622969e+000
2.20938554067670e+000	5.81170097508126e+000
2.41175135139075e+000	5.94171180931744e+000
2.71381382051479e+000	6.02361863488624e+000
2.88770236420750e+000	6.05872156013001e+000
3.03480178817522e+000	6.09382448537378e+000
3.13052027293565e+000	6.09382448537378e+000
3.22925774508449e+000	6.05872156013001e+000
3.41489889930969e+000	6.02361863488624e+000
3.54455139380431e+000	6.02101841820152e+000
3.71740690513990e+000	6.04572047670639e+000
3.88794535689606e+000	6.08862405200433e+000
3.95287232165909e+000	6.12242686890574e+000
4.24405668272613e+000	6.24593716143012e+000
4.39304680469546e+000	6.32784398699892e+000
4.53786326797524e+000	6.40715059588299e+000
4.64238632222835e+000	6.46305525460455e+000
4.75587614905256e+000	6.49295774647887e+000
4.93984880500032e+000	6.49425785482124e+000
5.14867219738055e+000	6.44225352112676e+000
5.44089932326907e+000	6.36294691224269e+000
5.61250678738306e+000	6.30444203683640e+000
5.78952679820852e+000	6.29274106175515e+000
5.89840762178763e+000	6.29274106175515e+000
6.16049269719543e+000	6.29274106175515e+000
6.28068270502681e+000	6.31744312026002e+000
6.47430790832904e+000	6.36944745395450e+000
6.76198207145402e+000	6.39804983748646e+000
6.88915138988517e+000	6.39804983748646e+000
7.19525837286893e+000	6.35124593716143e+000
7.51496666604729e+000	6.29274106175515e+000
7.89777871808354e+000	6.23423618634886e+000
8.30009119822497e+000	6.19913326110509e+000
8.45618698928756e+000	6.19913326110509e+000
8.66889073990859e+000	6.19913326110509e+000
8.77724063374412e+000	6.22253521126760e+000
8.99802004712108e+000	6.24593716143012e+000
9.16724144767059e+000	6.25763813651138e+000
9.63422030014504e+000	6.25763813651138e+000
1.00622994557009e+001	6.24593716143012e+000
1.04443319150065e+001	6.22253521126760e+000

x2	y2
7.64440216537941e-001	1.02730227518960e+000
7.83668658551955e-001	1.36663055254605e+000
7.93463500649277e-001	1.61235102925244e+000
8.03380765572451e-001	1.88147345612134e+000
8.23588703527292e-001	2.09209100758397e+000
8.33882494424957e-001	2.30270855904659e+000
8.65542273734807e-001	2.53672806067172e+000
8.65542273734807e-001	2.67713976164680e+000
8.65542273734807e-001	2.84095341278440e+000
8.65542273734807e-001	3.02816901408451e+000
8.65542273734807e-001	3.28559046587216e+000
8.65542273734807e-001	3.43770314192849e+000
8.65542273734807e-001	3.75362946912243e+000
8.70934554988784e-001	3.92914409534128e+000
8.87313798912488e-001	4.08125677139762e+000
9.21002189351150e-001	4.19826652221018e+000
9.92264643674544e-001	4.37378114842904e+000
1.13049725429628e+000	4.54929577464789e+000
1.34521645760522e+000	4.75991332611051e+000
1.49501384811386e+000	4.92372697724810e+000
1.67184302228294e+000	5.09924160346696e+000
1.86958742534891e+000	5.29815817984832e+000

x3	y3
1.11654192794764e+000	1.00390032502709e+000
1.13049725429628e+000	1.76446370530878e+000
1.15893335751398e+000	2.24420368364030e+000
1.20293425042038e+000	2.58353196099675e+000
1.26421166512252e+000	2.92286023835320e+000
1.42254925528998e+000	3.42600216684724e+000
1.81242310124960e+000	3.99934994582882e+000
2.21091069499448e+000	4.36208017334778e+000
